,crag,sector,name,grade_fra,Country
462,hole,sunset wall,tequila sunset,7a,South Africa
463,hole,sunset wall,white russian,6c/+,South Africa
464,houdenbek,centre,applestar galactica,6b/+,South Africa
465,houdenbek,centre,high times,5,South Africa
466,houdenbek,centre,iclimb fujitsu,6c+,South Africa
467,houdenbek,centre,keeps the dotcor away,6b,South Africa
468,houdenbek,centre,slim shady,6a+/6b,South Africa
469,houdenbek,centre,tropic thunder,6a/+,South Africa
470,houdenbek,right,peaches en regalia,6b/+,South Africa
471,houdenbek,right,pink lady,5a+,South Africa
472,howies,big cave,invisible elephant,6a+/6b,South Africa
473,howies,main cave,burn,6b+/6c,South Africa
474,howies,main cave,paglias pursuit,6b,South Africa
475,howies,main cave,slash,5c,South Africa
476,howies,main cave,un named,6a/+,South Africa
477,howies,small cave,another roadside attraction,6b/+,South Africa
478,howies,small cave,fringe benefits,6b/+,South Africa
479,howies,small cave,sputnik,7b,South Africa
480,kirk falls,main crag,warp speed,6b,South Africa
481,kleinmond,lower tier,palm oil,7a,South Africa
482,kleinmond,lower tier,speed ball,7a+,South Africa
483,kloof,boneyard,dance macabre,7b,South Africa
484,kloof,boneyard,mowgli meets the virgin vampire,6c/+,South Africa
485,kloof gorge,boneyard,voodoo guru,7b+,South Africa
486,legoland,montagu,cohocolate speedway,6,South Africa
487,legoland,montagu,oh my goodnes,6,South Africa
488,montagu,berlin wall,brandenburg gate,6b/+,South Africa
489,montagu,berlin wall,glasnost,5a,South Africa
490,montagu,berlin wall,hot toddy bension,7c/+,South Africa
491,montagu,berlin wall,minefield,6b+/6c,South Africa
492,montagu,berlin wall,streef boganoff,7a,South Africa
493,montagu,berlin wall,vays und meenz,7a,South Africa
494,montagu,far side,route number one,6b+,South Africa
495,montagu,jurassic park,jabulani,7c,South Africa
496,montagu,legoland,baboons on the roof,6b/+,South Africa
497,montagu,legoland,bolt your bitch,6b+,South Africa
498,montagu,legoland,buon giorno bambina,6b,South Africa
499,montagu,legoland,buona sera signorina,6a+,South Africa
500,montagu,legoland,caramel roller coaster,5b+,South Africa
501,montagu,legoland,chocolate speedway,5c+,South Africa
502,montagu,legoland,cleinous hing,7a,South Africa
503,montagu,legoland,crack baby,5c+,South Africa
504,montagu,legoland,easy does it,5a+,South Africa
505,montagu,legoland,eddy of bovidence,7a,South Africa
506,montagu,legoland,hey come on,6a/+,South Africa
507,montagu,legoland,i bewieve so direct,5a,South Africa
508,montagu,legoland,life and times of mike hunt,5a,South Africa
509,montagu,legoland,mild thing,5a,South Africa
510,montagu,legoland,missing link,5b,South Africa
511,montagu,legoland,not with new brim,5a,South Africa
512,montagu,legoland,oh my goodness,6,South Africa
513,montagu,legoland,persistence of time,6a/+,South Africa
514,montagu,legoland,pipe dreams,5c+,South Africa
515,montagu,legoland,rope man,5b+,South Africa
516,montagu,legoland,slap and tickle,6b,South Africa
517,montagu,palace,activist,8a/+,South Africa
518,montagu,palace,burning chrome,7c/+,South Africa
519,montagu,palace,cyberpunk,7a+,South Africa
520,montagu,palace,icharus,6c,South Africa
